# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
init_time,track_id,sample,valid_time,lead_time,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots,radius_of_maximum_winds_km,radius_34_knot_winds_ne_km,radius_34_knot_winds_se_km,radius_34_knot_winds_sw_km,radius_34_knot_winds_nw_km,radius_50_knot_winds_ne_km,radius_50_knot_winds_se_km,radius_50_knot_winds_sw_km,radius_50_knot_winds_nw_km,radius_64_knot_winds_ne_km,radius_64_knot_winds_se_km,radius_64_knot_winds_sw_km,radius_64_knot_winds_nw_km
2026-06-29,WP952026,12.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,12.0,2026-06-29 06:00:00,0 days 06:00:00,8.08,165.51,1008.7,14.5,71.74966158821299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,13.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,14.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,15.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,15.0,2026-06-29 06:00:00,0 days 06:00:00,7.98,166.38,1005.4,16.1,116.84195435863666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,16.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,17.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,17.0,2026-06-29 06:00:00,0 days 06:00:00,8.7,171.49,1008.7,14.9,60.71038476331421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,17.0,2026-06-29 12:00:00,0 days 12:00:00,8.45,172.38,1007.2,20.4,105.38425882380336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
